"Page type"	"Age breast with all 7gr"	"Merge AJCC stage-breast"	"Sex"	"Origin recode NHIA (Hispanic, Non-Hisp)"	"Interval"	"Alive at Start"	"Died"	"Lost to Followup"	"Observed Survival (Interval)"	"Observed Survival (Cum)"	"Expected Survival (Interval)"	"Expected Survival (Cum)"	"Relative Survival (Interval)"	"Relative Survival (Cum)"	"Observed SE (Interval)"	"Observed SE (Cum)"	"Relative SE (Interval)"	"Relative SE (Cum)"
0	0	0	2	1	7	3010	27	304	0.99055	0.95319	0.99858	0.99211	0.99196	0.96077	0.00181	0.00350	0.00181	0.00353
0	0	0	2	1	8	2679	21	243	0.99179	0.94536	0.99846	0.99058	0.99332	0.95436	0.00178	0.00387	0.00179	0.00390
0	0	0	2	1	9	2415	20	249	0.99127	0.93711	0.99832	0.98891	0.99294	0.94762	0.00194	0.00425	0.00195	0.00430
0	0	0	2	1	10	2146	15	232	0.99261	0.93018	0.99817	0.98711	0.99443	0.94233	0.00190	0.00458	0.00190	0.00464
0	0	0	2	1	11	1899	15	236	0.99158	0.92235	0.99801	0.98515	0.99355	0.93626	0.00217	0.00497	0.00217	0.00504
0	0	0	2	1	12	1648	11	216	0.99286	0.91576	0.99784	0.98302	0.99500	0.93158	0.00215	0.00532	0.00215	0.00541
0	0	0	2	1	13	1421	12	207	0.99089	0.90742	0.99765	0.98071	0.99323	0.92527	0.00262	0.00579	0.00262	0.00590
0	0	0	2	1	14	1202	5	203	0.99546	0.90330	0.99744	0.97819	0.99802	0.92344	0.00203	0.00605	0.00203	0.00618
0	0	0	2	1	15	994	6	187	0.99334	0.89728	0.99719	0.97544	0.99613	0.91987	0.00271	0.00649	0.00272	0.00665
0	0	0	2	1	16	801	9	173	0.98740	0.88598	0.99693	0.97245	0.99044	0.91107	0.00417	0.00742	0.00419	0.00763
0	0	0	2	1	17	619	3	181	0.99432	0.88095	0.99665	0.96919	0.99767	0.90895	0.00327	0.00792	0.00328	0.00818
0	0	0	2	1	18	435	5	141	0.98628	0.86886	0.99639	0.96569	0.98986	0.89973	0.00609	0.00948	0.00611	0.00982
0	0	0	2	1	19	289	1	148	0.99535	0.86482	0.99615	0.96197	0.99920	0.89901	0.00464	0.01026	0.00466	0.01067
0	0	1	0	0	1	35913	168	269	0.99530	0.99530	0.99862	0.99862	0.99668	0.99668	0.00036	0.00036	0.00036	0.00036
0	0	1	0	0	2	35476	666	238	0.98116	0.97656	0.99850	0.99712	0.98263	0.97937	0.00072	0.00080	0.00072	0.00080
0	0	1	0	0	3	34572	717	1979	0.97865	0.95571	0.99839	0.99552	0.98023	0.96001	0.00079	0.00110	0.00079	0.00110
0	0	1	0	0	4	31876	699	1892	0.97740	0.93411	0.99826	0.99378	0.97910	0.93995	0.00085	0.00134	0.00085	0.00135
0	0	1	0	0	5	29285	576	2092	0.97960	0.91505	0.99812	0.99192	0.98145	0.92251	0.00084	0.00153	0.00084	0.00155
0	0	1	0	0	6	26617	484	1933	0.98113	0.89779	0.99797	0.98990	0.98313	0.90695	0.00085	0.00169	0.00085	0.00171
0	0	1	0	0	7	24200	443	1802	0.98099	0.88072	0.99780	0.98773	0.98314	0.89166	0.00089	0.00185	0.00090	0.00187
